"W1","W2","rel"
"mesh","interlock",2
"investigation","investigating",2
"examination","scrutiny",2
"inspection","review",2
"check","checkout",2
"followup","review",2
"joining","connection",2
"joining","connexion",2
"fastening","attachment",2
"alteration","modification",2
"alteration","adjustment",2
"modification","adjustment",2
"determination","finding",2
"documentation","support",2
"location","locating",2
"location","fix",2
"locating","fix",2
"trigger","induction",2
"impingement","impact",2
"manipulation","use",2
"inducement","inducing",2
"selection","option",2
"option","pick",2
"appointment","assignment",2
"appointment","naming",2
"assignment","naming",2
"turn","play",2
"maneuver","manoeuvre",2
"device","twist",2
"agency","way",2
"instrument","tool",2
"measure","step",2
"blessing","approval",2
"adoption","espousal",2
"embrace","bosom",2
"vote","ballot",2
"vote","balloting",2
"ballot","balloting",2
"equalization","leveling",2
"reconciliation","balancing",2
"measure","quantity",2
"measure","amount",2
"quantity","amount",2
"idea","thought",2
"plan","program",2
"plan","programme",2
"run","tally",2
"reduction","simplification",2
"economy","saving",2
"change","alteration",2
"change","modification",2
"transformation","transmutation",2
"transformation","shift",2
"transmutation","shift",2
"improvement","advance",2
"adjustment","accommodation",2
"variation","variance",2
"switch","shift",2
"exchange","commutation",2
"discharge","firing",2
"discharge","liberation",2
"discharge","sack",2
"firing","liberation",2
"firing","release",2
"firing","sack",2
"liberation","release",2
"liberation","sack",2
"release","sack",2
"transformation","translation",2
"passage","transition",2
"transfer","transference",2
"resistance","opposition",2
"protest","objection",2
"prevention","bar",2
"conveyance","conveyancing",2
"delivery","livery",2
"release","waiver",2
"release","discharge",2
"waiver","discharge",2
"dissolution","breakup",2
"destruction","devastation",2
"killing","kill",2
"murder","execution",2
"abolition","abolishment",2
"beginning","start",2
"beginning","commencement",2
"start","commencement",2
"repair","fix",2
"repair","fixing",2
"repair","fixture",2
"repair","mending",2
"repair","reparation",2
"fix","fixing",2
"fix","fixture",2
"fix","mending",2
"fix","reparation",2
"fixing","fixture",2
"fixing","mending",2
"fixing","reparation",2
"fixture","mending",2
"fixture","reparation",2
"mending","reparation",2
"introduction","launching",2
"introduction","entry",2
"launching","entry",2
"inauguration","startup",2
"foundation","institution",2
"foundation","origination",2
"foundation","creation",2
"foundation","introduction",2
"institution","origination",2
"institution","creation",2
"institution","introduction",2
"origination","creation",2
"origination","introduction",2
"creation","introduction",2
"installation","installment",2
"constitution","establishment",2
"constitution","formation",2
"constitution","organization",2
"constitution","organisation",2
"establishment","formation",2
"establishment","organization",2
"establishment","organisation",2
"formation","organization",2
"formation","organisation",2
"arousal","rousing",2
"affair","occasion",2
"affair","function",2
"occasion","function",2
"induction","installation",2
"cooking","cookery",2
"cooking","preparation",2
"cookery","preparation",2
"cleaning","cleansing",2
"cleaning","cleanup",2
"cleansing","cleanup",2
"purge","purgation",2
"purification","purgation",2
"care","attention",2
"care","aid",2
"attention","aid",2
"treatment","intervention",2
"shave","shaving",2
"practice","pattern",2
"redress","remedy",2
"recompense","compensation",2
"ornamentation","embellishment",2
"ventilation","airing",2
"care","maintenance",2
"occupation","business",2
"occupation","job",2
"occupation","line",2
"business","job",2
"business","line",2
"job","line",2
"employment","work",2
"engagement","booking",2
"degradation","debasement",2
"corruption","subversion",2
"preservation","saving",2
"drenching","soaking",2
"approach","coming",2
"closing","closure",2
"procession","advance",2
"locomotion","travel",2
"walk","walking",2
"hitch","limp",2
"hike","hiking",2
"hike","tramp",2
"hiking","tramp",2
"lurch","lunge",2
"journey","journeying",2
"tour","circuit",2
"jog","trot",2
"lap","circle",2
"lap","circuit",2
"circle","circuit",2
"labor","labour",2
"labor","toil",2
"labour","toil",2
"distance","length",2
"stage","leg",2
"drive","ride",2
"campaign","safari",2
"excursion","junket",2
"excursion","expedition",2
"junket","expedition",2
"transportation","transfer",2
"transportation","conveyance",2
"transport","transfer",2
"transport","conveyance",2
"transfer","conveyance",2
"connection","connexion",2
"service","serving",2
"process","operation",2
"packing","boxing",2
"injection","shot",2
"ascent","ascension",2
"ascent","ascending",2
"ascension","ascending",2
"climb","mount",2
"flop","collapse",2
"flow","stream",2
"spill","spillage",2
"spill","release",2
"spillage","release",2
"flood","outpouring",2
"translation","displacement",2
"composing","composition",2
"arrangement","transcription",2
"twist","turn",2
"twist","twisting",2
"wind","twist",2
"lurch","pitch",2
"rock","sway",2
"upset","turnover",2
"vibration","quiver",2
"reach","reaching",2
"reach","stretch",2
"reaching","stretch",2
"straddle","span",2
"wiggle","squirm",2
"turn","turning",2
"decrease","diminution",2
"decrease","reduction",2
"diminution","reduction",2
"consumption","expenditure",2
"subtraction","deduction",2
"moderation","mitigation",2
"effort","exertion",2
"effort","sweat",2
"exertion","sweat",2
"expansion","enlargement",2
"dilation","dilatation",2
"deposit","deposition",2
"fracture","crack",2
"explosion","burst",2
"burning","combustion",2
"ignition","firing",2
"ignition","lighting",2
"ignition","inflammation",2
"firing","lighting",2
"firing","inflammation",2
"lighting","inflammation",2
"mix","mixture",2
"union","unification",2
"union","conjugation",2
"unification","conjugation",2
"reunion","reunification",2
"delay","holdup",2
"break","interruption",2
"break","disruption",2
"break","gap",2
"interruption","disruption",2
"interruption","gap",2
"disruption","gap",2
"schism","split",2
"detachment","disengagement",2
"rent","split",2
"censoring","censorship",2
"division","partition",2
"reclamation","renewal",2
"reclamation","rehabilitation",2
"renewal","rehabilitation",2
"damage","harm",2
"damage","hurt",2
"flexion","flexure",2
"consumption","ingestion",2
"consumption","intake",2
"ingestion","intake",2
"eating","feeding",2
"custom","usage",2
"continuance","continuation",2
"habit","use",2
"slavery","slaveholding",2
"way","path",2
"clutch","grasp",2
"clutch","grip",2
"clutch","hold",2
"grasp","grip",2
"grip","hold",2
"embrace","embracing",2
"hug","clinch",2
"hug","squeeze",2
"clinch","squeeze",2
"exploitation","victimisation",2
"maltreatment","abuse",2
"tease","ribbing",2
"bag","dish",2
"exercise","workout",2
"kip","upstart",2
"track","running",2
"swimming","swim",2
"hunt","hunting",2
"farming","land",2
"fishing","sportfishing",2
"casting","cast",2
"contest","competition",2
"order","ordering",2
"succession","sequence",2
"concept","conception",2
"concept","construct",2
"conception","construct",2
"part","section",2
"part","division",2
"section","division",2
"cut","cutting",2
"material","stuff",2
"part","component",2
"part","constituent",2
"portion","component",2
"portion","constituent",2
"chicago","newmarket",2
"napoleon","nap",2
"solitaire","patience",2
"rummy","rum",2
"canasta","meld",2
"gambling","gaming",2
"gambling","play",2
"gaming","play",2
"lottery","drawing",2
"bet","wager",2
"celebration","festivity",2
"merrymaking","conviviality",2
"revel","revelry",2
"bust","tear",2
"bust","bout",2
"tear","bout",2
"spring","bound",2
"spring","bounce",2
"bound","bounce",2
"play","caper",2
"folly","indulgence",2
"antic","joke",2
"antic","prank",2
"antic","trick",2
"antic","caper",2
"joke","prank",2
"joke","trick",2
"joke","caper",2
"prank","trick",2
"prank","caper",2
"trick","caper",2
"carnival","fair",2
"display","exhibit",2
"dancing","dance",2
"dancing","terpsichore",2
"dance","terpsichore",2
"waltz","valse",2
"acting","playing",2
"portrayal","characterization",2
"portrayal","enactment",2
"characterization","enactment",2
"program","programme",2
"trick","magic",2
"trick","illusion",2
"trick","deception",2
"magic","illusion",2
"magic","deception",2
"illusion","deception",2
"liveliness","animation",2
"circus","carnival",2
"dislocation","breakdown",2
"melee","scrimmage",2
"agitation","excitement",2
"agitation","turmoil",2
"agitation","upheaval",2
"excitement","turmoil",2
"excitement","upheaval",2
"turmoil","upheaval",2
"upset","overthrow",2
"run","running",2
"cut","undercut",2
"swing","cut",2
"hook","draw",2
"hook","hooking",2
"draw","hooking",2
"undertaking","project",2
"undertaking","task",2
"undertaking","labor",2
"project","task",2
"project","labor",2
"task","labor",2
"cinch","breeze",2
"cinch","picnic",2
"cinch","snap",2
"breeze","picnic",2
"breeze","snap",2
"picnic","snap",2
"operation","procedure",2
"game","biz",2
"career","calling",2
"career","vocation",2
"calling","vocation",2
"duty","responsibility",2
"duty","obligation",2
"responsibility","obligation",2
"position","post",2
"position","berth",2
"position","office",2
"position","spot",2
"position","billet",2
"position","situation",2
"post","berth",2
"post","office",2
"post","spot",2
"post","billet",2
"post","place",2
"post","situation",2
"berth","office",2
"berth","spot",2
"berth","billet",2
"berth","place",2
"berth","situation",2
"office","spot",2
"office","billet",2
"office","place",2
"office","situation",2
"spot","billet",2
"spot","place",2
"spot","situation",2
"billet","place",2
"billet","situation",2
"place","situation",2
"measurement","measuring",2
"measurement","measure",2
"measuring","measure",2
"trade","craft",2
"cryptography","coding",2
"butchery","butchering",2
"confrontation","opposition",2
"trouble","difficulty",2
"application","diligence",2
"assembly","assemblage",2
"assembly","gathering",2
"assemblage","gathering",2
"meeting","congress",2
"ablation","excision",2
"transplant","transplantation",2
"judgment","assessment",2
"judgement","assessment",2
"administration","judicature",2
"radiotherapy","radiation",2
"radiotherapy","irradiation",2
"radiation","irradiation",2
"application","coating",2
"application","covering",2
"coating","covering",2
"sewing","stitching",2
"job","task",2
"job","chore",2
"task","chore",2
"function","office",2
"function","part",2
"function","role",2
"office","part",2
"office","role",2
"position","place",2
"pitcher","mound",2
"homework","preparation",2
"teaching","instruction",2
"teaching","pedagogy",2
"instruction","pedagogy",2
"exercise","example",2
"mission","charge",2
"mission","commission",2
"charge","commission",2
"hell","blaze",2
"familiarity","impropriety",2
"familiarity","liberty",2
"impropriety","liberty",2
"abnormality","irregularity",2
"negligence","carelessness",2
"negligence","neglect",2
"negligence","nonperformance",2
"carelessness","neglect",2
"carelessness","nonperformance",2
"neglect","nonperformance",2
"evasion","escape",2
"evil","immorality",2
"evil","wickedness",2
"immorality","wickedness",2
"dissipation","dissolution",2
"dishonesty","knavery",2
"falsification","falsehood",2
"falsification","misrepresentation",2
"distortion","straining",2
"distortion","torture",2
"distortion","twisting",2
"straining","torture",2
"straining","twisting",2
"torture","twisting",2
"deception","deceit",2
"deception","dissimulation",2
"deceit","dissimulation",2
"swindle","cheat",2
"swindle","rig",2
"cheat","rig",2
"delusion","illusion",2
"pretense","pretence",2
"pretense","pretending",2
"pretense","simulation",2
"pretence","pretending",2
"pretence","simulation",2
"pretending","simulation",2
"appearance","show",2
"sin","sinning",2
"doctrine","philosophy",2
"doctrine","ism",2
"philosophy","ism",2
"gospel","creed",2
"attack","attempt",2
"violation","infringement",2
"battle","conflict",2
"battle","fight",2
"battle","engagement",2
"conflict","fight",2
"conflict","engagement",2
"fight","engagement",2
"rape","violation",2
"rape","assault",2
"violation","assault",2
"capture","seizure",2
"enterprise","endeavor",2
"enterprise","endeavour",2
"endeavor","endeavour",2
"bribery","graft",2
"caper","job",2
"protection","tribute",2
"crack","pass",2
"crack","offer",2
"pass","offer",2
"contribution","part",2
"contribution","share",2
"part","share",2
"struggle","battle",2
"message","content",2
"message","substance",2
"content","substance",2
"test","run",2
"trial","run",2
"audition","tryout",2
"campaign","cause",2
"campaign","crusade",2
"campaign","drive",2
"campaign","movement",2
"campaign","effort",2
"cause","crusade",2
"cause","drive",2
"cause","movement",2
"cause","effort",2
"crusade","drive",2
"crusade","movement",2
"crusade","effort",2
"drive","movement",2
"drive","effort",2
"movement","effort",2
"risk","danger",2
"regulation","regulating",2
"arrangement","organization",2
"arrangement","organisation",2
"arrangement","system",2
"sample","sampling",2
"lining","facing",2
"wear","wearing",2
"breathing","respiration",2
"breathing","ventilation",2
"respiration","ventilation",2
"revival","revitalization",2
"blow","puff",2
"inspiration","intake",2
"puff","drag",2
"puff","pull",2
"drag","pull",2
"swallow","drink",2
"swallow","deglutition",2
"drink","deglutition",2
"gulp","draft",2
"gulp","swig",2
"draft","swig",2
"condition","status",2
"disorder","upset",2
"bite","chomp",2
"feeding","alimentation",2
"intercourse","copulation",2
"intercourse","relation",2
"copulation","relation",2
"fuck","screw",2
"fuck","ass",2
"fuck","shag",2
"screw","ass",2
"screw","shag",2
"ass","shag",2
"coupling","conjugation",2
"coupling","union",2
"adultery","fornication",2
"reproduction","procreation",2
"reproduction","breeding",2
"procreation","breeding",2
"crossing","cross",2
"arousal","stimulation",2
"jump","start",2
"tremble","shake",2
"calculation","computing",2
"computation","computing",2
"addition","plus",2
"marking","grading",2
"survey","study",2
"view","survey",2
"view","sight",2
"survey","sight",2
"education","instruction",2
"education","teaching",2
"education","pedagogy",2
"course","class",2
"training","preparation",2
"exercise","practice",2
"exercise","drill",2
"exercise","recitation",2
"practice","drill",2
"practice","recitation",2
"drill","recitation",2
"position","posture",2
"position","attitude",2
"posture","attitude",2
"sonography","ultrasound",2
"molding","casting",2
"recording","transcription",2
"fabrication","assembly",2
"grading","leveling",2
"industry","manufacture",2
"overproduction","overrun",2
"farming","agriculture",2
"placement","location",2
"placement","locating",2
"placement","position",2
"placement","emplacement",2
"location","position",2
"location","emplacement",2
"locating","position",2
"locating","emplacement",2
"position","emplacement",2
"growth","growing",2
"growth","development",2
"growth","ontogeny",2
"growing","development",2
"growing","ontogeny",2
"development","ontogeny",2
"gardening","horticulture",2
"mining","excavation",2
"boring","drilling",2
"fabrication","manufacture",2
"confection","concoction",2
"writing","composition",2
"realization","actualization",2
"realisation","actualization",2
"molding","moulding",2
"orchestration","instrumentation",2
"conceptualization","conceptualisation",2
"conceptualization","formulation",2
"conceptualisation","formulation",2
"approach","attack",2
"search","hunt",2
"search","hunting",2
"exploitation","development",2
"war","warfare",2
"brush","encounter",2
"aggression","hostility",2
"violence","force",2
"plundering","pillage",2
"support","reinforcement",2
"attack","onslaught",2
"attack","onset",2
"onslaught","onset",2
"fire","firing",2
"fusillade","salvo",2
"fusillade","volley",2
"fusillade","burst",2
"salvo","volley",2
"salvo","burst",2
"volley","burst",2
"adjustment","registration",2
"thinking","thought",2
"thinking","intellection",2
"thought","intellection",2
"calculation","computation",2
"estimate","estimation",2
"estimate","idea",2
"estimation","idea",2
"randomization","randomisation",2
"scaling","grading",2
"utterance","vocalization",2
"categorization","categorisation",2
"categorization","classification",2
"categorization","assortment",2
"categorisation","classification",2
"categorisation","assortment",2
"classification","assortment",2
"collection","aggregation",2
"support","supporting",2
"suspension","hanging",2
"reduplication","reiteration",2
"discontinuance","discontinuation",2
"rut","groove",2
"food","nutrient",2
"nutriment","nourishment",2
"nutriment","nutrition",2
"nutriment","sustenance",2
"nutriment","aliment",2
"nutriment","alimentation",2
"nourishment","nutrition",2
"nourishment","sustenance",2
"nourishment","aliment",2
"nourishment","alimentation",2
"nutrition","sustenance",2
"nutrition","aliment",2
"nutrition","alimentation",2
"sustenance","aliment",2
"sustenance","alimentation",2
"aliment","alimentation",2
"ritual","rite",2
"marriage","wedding",2
"bridal","espousal",2
"commitment","allegiance",2
"commitment","loyalty",2
"commitment","dedication",2
"allegiance","loyalty",2
"allegiance","dedication",2
"loyalty","dedication",2
"giving","gift",2
"group","grouping",2
"ordering","ordination",2
"order","ordination",2
"devotion","veneration",2
"rebirth","renaissance",2
"concealment","concealing",2
"concealment","hiding",2
"concealing","hiding",2
"disguise","camouflage",2
"cover","covering",2
"stop","layover",2
"recess","break",2
"hesitation","waver",2
"hesitation","falter",2
"waver","falter",2
"rest","ease",2
"rest","repose",2
"rest","relaxation",2
"ease","repose",2
"ease","relaxation",2
"repose","relaxation",2
"slowdown","retardation",2
"diet","dieting",2
"demonstration","demo",2
"expression","manifestation",2
"expression","reflection",2
"manifestation","reflection",2
"blockade","encirclement",2
"stall","stalling",2
"parcel","portion",2
"parcel","share",2
"portion","share",2
"aid","assistance",2
"contribution","donation",2
"exchange","interchange",2
"leverage","leveraging",2
"flotation","floatation",2
"management","direction",2
"issue","publication",2
"construction","building",2
"transportation","transport",2
"barter","trade",2
"exporting","exportation",2
"being","existence",2
"opportunity","chance",2
"spending","outlay",2
"government","governance",2
"government","administration",2
"governance","administration",2
"enactment","passage",2
"execution","implementation",2
"mastery","subordination",2
"socialization","acculturation",2
"socialisation","acculturation",2
"breeding","fostering",2
"breeding","nurture",2
"fostering","nurture",2
"care","charge",2
"obedience","respect",2
"treatment","handling",2
"administration","disposal",2
"organization","organisation",2
"authorization","authorisation",2
"authorization","empowerment",2
"authorisation","empowerment",2
"certification","enfranchisement",2
"license","permission",2
"license","permit",2
"permission","permit",2
"check","curb",2
"discrimination","favoritism",2
"discrimination","favouritism",2
"favoritism","favouritism",2
"racism","racialism",2
"standardization","normalization",2
"punishment","penalty",2
"castigation","chastisement",2
"beating","licking",2
"beating","lacing",2
"licking","lacing",2
"music","medicine",2
"execution","executing",2
"submission","compliance",2
"obedience","obeisance",2
"competition","contention",2
"dispute","contravention",2
"shock","impact",2
"hammer","pound",2
"hammer","hammering",2
"hammer","pounding",2
"pound","hammering",2
"pound","pounding",2
"hammering","pounding",2
"disturbance","fray",2
"fistfight","slugfest",2
"demonstration","manifestation",2
"lawsuit","suit",2
"lawsuit","case",2
"lawsuit","cause",2
"lawsuit","causa",2
"suit","case",2
"suit","cause",2
"suit","causa",2
"case","cause",2
"case","causa",2
"cause","causa",2
"conviction","condemnation",2
"conviction","sentence",2
"condemnation","sentence",2
"eviction","dispossession",2
"compulsion","coercion",2
"defense","denial",2
"defence","denial",2
"ending","finish",2
"segregation","sequestration",2
"relief","succor",2
"relief","ministration",2
"succor","ministration",2
"consolation","comfort",2
"elimination","riddance",2
"rationalization","rationalisation",2
"protection","aegis",2
"sustenance","sustainment",2
"sustenance","maintenance",2
"sustainment","maintenance",2
"employment","engagement",2
"booking","reservation",2
"admiration","appreciation",2
"reward","reinforcement",2
"slander","denigration",2
"discourtesy","offense",2
"discourtesy","offence",2
"favor","favour",2
"socialization","socialisation",2
"attendance","attending",2
"appearance","appearing",2
"engagement","participation",2
"engagement","involvement",2
"participation","involvement",2
"cast","roll",2
"flip","toss",2
"stupidity","folly",2
"harmonization","harmonisation",2
"leadership","leading",2
"colonization","settlement",2
"reference","consultation",2
"release","outlet",2
"release","vent",2
"outlet","vent",2
"blink","wink",2
"stabilization","stabilisation",2
"lexington","concord",2
"meuse","argonne",2
"conquest","subjugation",2
"animal","beast",2
"animal","brute",2
"animal","creature",2
"animal","fauna",2
"beast","creature",2
"beast","fauna",2
"brute","creature",2
"brute","fauna",2
"creature","fauna",2
"young","offspring",2
"mammal","mammalian",2
"passage","passageway",2
"orifice","opening",2
"orifice","porta",2
"opening","porta",2
"process","outgrowth",2
"process","appendage",2
"outgrowth","appendage",2
"bacteria","bacterium",2
"artifact","artefact",2
"instrumentality","instrumentation",2
"weapon","arm",2
"plant","flora",2
"bug","germ",2
"alga","algae",2
"bone","os",2
"spine","backbone",2
"spine","back",2
"backbone","back",2
"meadowlark","lark",2
"titmouse","tit",2
"bowerbird","catbird",2
"owl","hooter",2
"frog","toad",2
"reptile","reptilian",2
"snake","serpent",2
"beak","bill",2
"beak","pecker",2
"bill","pecker",2
"extremity","appendage",2
"extremity","member",2
"appendage","member",2
"fowl","poultry",2
"chick","biddy",2
"cock","rooster",2
"hen","biddy",2
"gobbler","tom",2
"bobwhite","partridge",2
"ability","power",2
"creativity","creativeness",2
"imagination","vision",2
"woodpecker","pecker",2
"waterfowl","waterbird",2
"livestock","stock",2
"shell","shield",2
"hide","pelt",2
"hide","skin",2
"pelt","skin",2
"feather","plume",2
"feather","plumage",2
"plume","plumage",2
"vane","web",2
"fiber","fibre",2
"fibril","filament",2
"fibril","strand",2
"filament","strand",2
"sheath","case",2
"fluke","trematode",2
"mollusk","shellfish",2
"boundary","edge",2
"edge","bound",2
"margin","border",2
"stomach","tummy",2
"craw","crop",2
"pouch","pocket",2
"gull","seagull",2
"cetacean","blower",2
"walrus","seahorse",2
"aardvark","anteater",2
"cur","mongrel",2
"tabby","queen",2
"cougar","catamount",2
"cougar","painter",2
"cougar","panther",2
"catamount","painter",2
"catamount","panther",2
"painter","panther",2
"lynx","catamount",2
"jaguar","panther",2
"claw","nipper",2
"bob","dock",2
"illness","malady",2
"illness","sickness",2
"malady","sickness",2
"cockroach","roach",2
"rabbit","coney",2
"rabbit","cony",2
"coney","cony",2
"porcupine","hedgehog",2
"groundhog","woodchuck",2
"arabian","arab",2
"grey","gray",2
"hack","plug",2
"rhinoceros","rhino",2
"hog","pig",2
"hippopotamus","hippo",2
"cattle","kine",2
"elk","moose",2
"skunk","polecat",2
"proboscis","trunk",2
"joint","articulation",2
"cannon","shank",2
"evidence","grounds",2
"quill","shaft",2
"homo","man",2
"homo","human",2
"man","human",2
"world","man",2
"pollack","pollock",2
"fabric","cloth",2
"fabric","material",2
"fabric","textile",2
"cloth","material",2
"cloth","textile",2
"material","textile",2
"clothing","vesture",2
"clothing","wear",2
"clothing","wearable",2
"vesture","wear",2
"vesture","wearable",2
"wear","wearable",2
"commodity","good",2
"vessel","watercraft",2
"structure","construction",2
"building","edifice",2
"housing","lodging",2
"dwelling","home",2
"dwelling","domicile",2
"dwelling","abode",2
"dwelling","habitation",2
"home","domicile",2
"home","abode",2
"home","habitation",2
"domicile","abode",2
"domicile","habitation",2
"abode","habitation",2
"movement","front",2
"painting","picture",2
"attire","garb",2
"attire","dress",2
"garb","dress",2
"control","controller",2
"pedal","treadle",2
"accelerator","gas",2
"accelerator","gun",2
"gas","gun",2
"road","route",2
"medicine","medication",2
"medicine","medicament",2
"medication","medicament",2
"analgesic","painkiller",2
"acetaminophen","tylenol",2
"disk","disc",2
"circle","round",2
"acid","dose",2
"acid","dot",2
"acid","pane",2
"acid","superman",2
"dose","dot",2
"dose","pane",2
"dose","superman",2
"dot","pane",2
"dot","superman",2
"pane","superman",2
"remedy","cure",2
"remedy","therapeutic",2
"cure","therapeutic",2
"coating","coat",2
"paint","pigment",2
"bedroom","chamber",2
"addition","improver",2
"cutter","cutlery",2
"apparatus","setup",2
"weaponry","munition",2
"blanket","cover",2
"decoration","ornament",2
"decoration","ornamentation",2
"ornament","ornamentation",2
"marketplace","market",2
"facility","installation",2
"airplane","plane",2
"padding","cushioning",2
"shock","cushion",2
"agency","bureau",2
"agency","office",2
"agency","authority",2
"bureau","office",2
"bureau","authority",2
"office","authority",2
"framework","frame",2
"intake","inlet",2
"cupboard","closet",2
"business","concern",2
"tube","tubing",2
"terminal","terminus",2
"rocket","projectile",2
"timepiece","timekeeper",2
"pipe","piping",2
"gown","robe",2
"pub","saloon",2
"fastener","fastening",2
"fastener","holdfast",2
"fastener","fixing",2
"fastening","holdfast",2
"fastening","fixing",2
"holdfast","fixing",2
"wrench","spanner",2
"sedative","depressant",2
"sedative","downer",2
"depressant","downer",2
"partition","divider",2
"violin","fiddle",2
"walk","walkway",2
"walk","paseo",2
"walkway","paseo",2
"corner","nook",2
"design","figure",2
"pattern","figure",2
"workplace","work",2
"anesthetic","anaesthetic",2
"amphetamine","speed",2
"photograph","photo",2
"photograph","exposure",2
"photograph","picture",2
"photograph","pic",2
"photo","exposure",2
"photo","picture",2
"photo","pic",2
"exposure","picture",2
"exposure","pic",2
"watch","ticker",2
"connection","connector",2
"connection","connecter",2
"connexion","connector",2
"connexion","connecter",2
"connector","connecter",2
"attachment","bond",2
"gauge","gage",2
"bridge","span",2
"jewelry","jewellery",2
"hosiery","hose",2
"charge","bearing",2
"junction","conjunction",2
"terminal","pole",2
"rampart","wall",2
"gear","paraphernalia",2
"gear","appurtenance",2
"paraphernalia","appurtenance",2
"saddlery","tack",2
"handcart","cart",2
"signal","signaling",2
"signal","sign",2
"signaling","sign",2
"award","accolade",2
"award","honor",2
"award","honour",2
"accolade","honor",2
"accolade","honour",2
"trophy","prize",2
"tract","parcel",2
"plot","patch",2
"grove","orchard",2
"grove","plantation",2
"orchard","plantation",2
"access","approach",2
"entrance","entry",2
"theater","house",2
"crockery","dishware",2
"argyll","argyle",2
"arm","limb",2
"branch","limb",2
"strip","slip",2
"plate","scale",2
"plate","shell",2
"scale","shell",2
"model","simulation",2
"wardrobe","closet",2
"wardrobe","press",2
"closet","press",2
"factory","mill",2
"factory","manufactory",2
